sigungu_full,victim_house_cnt,year,period_note,sido_short,sigungu
전주시 덕진구,7,2025,2025년(~25.3.),전주시,덕진구
전주시 완산구,7,2025,2025년(~25.3.),전주시,완산구
제주시,2,2025,2025년(~25.3.),제주시,
창원시 마산회원구,1,2025,2025년(~25.3.),창원시,마산회원구
창원시 성산구,3,2025,2025년(~25.3.),창원시,성산구
천안시 서북구,7,2025,2025년(~25.3.),천안시,서북구
청주시 상당구,1,2025,2025년(~25.3.),청주시,상당구
청주시 서원구,1,2025,2025년(~25.3.),청주시,서원구
청주시 청원구,1,2025,2025년(~25.3.),청주시,청원구
청주시 흥덕구,3,2025,2025년(~25.3.),청주시,흥덕구
충남 논산시,4,2025,2025년(~25.3.),충남,논산시
충남 당진시,4,2025,2025년(~25.3.),충남,당진시
충남 서산시,2,2025,2025년(~25.3.),충남,서산시
충남 아산시,1,2025,2025년(~25.3.),충남,아산시
충남 예산군,1,2025,2025년(~25.3.),충남,예산군
충북 충주시,1,2025,2025년(~25.3.),충북,충주시
포항시 남구,1,2025,2025년(~25.3.),포항시,남구
포항시 북구,5,2025,2025년(~25.3.),포항시,북구
화성시 동탄구,61,2025,2025년(~25.3.),화성시,동탄구
화성시 병점구,9,2025,2025년(~25.3.),화성시,병점구
화성시 효행구,2,2025,2025년(~25.3.),화성시,효행구
